,precision,recall,f1,hashcode
0,0.7266244292259216,0.8047633767127991,0.7637003660202026,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
1,0.7684440612792969,0.8380549550056458,0.801741361618042,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
2,0.7680115699768066,0.8182920217514038,0.792354941368103,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
3,0.7637815475463867,0.8244799375534058,0.7929708361625671,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
4,0.7601640224456787,0.8004502654075623,0.7797871232032776,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
5,0.767810583114624,0.8103159666061401,0.788490891456604,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
6,0.7753067016601562,0.7924790382385254,0.78379887342453,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
7,0.7573355436325073,0.8032179474830627,0.7796022295951843,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
8,0.766775369644165,0.8047618269920349,0.7853094935417175,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
9,0.7982865571975708,0.8079740405082703,0.8031010627746582,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
10,0.7688794136047363,0.8200475573539734,0.7936395406723022,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
11,0.7278532981872559,0.8182662129402161,0.770416259765625,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
12,0.7816530466079712,0.8028675317764282,0.7921182513237,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
13,0.7797716856002808,0.8136115074157715,0.7963322997093201,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
14,0.7491661906242371,0.8172670602798462,0.7817363142967224,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
15,0.7807668447494507,0.7963826656341553,0.7884973883628845,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
16,0.7742559909820557,0.8008747696876526,0.7873404622077942,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
17,0.7798947691917419,0.788938581943512,0.7843906283378601,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
18,0.7588499188423157,0.8020106554031372,0.7798335552215576,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
19,0.7687404751777649,0.7888964414596558,0.7786880135536194,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
20,0.7608790993690491,0.8079961538314819,0.7837300896644592,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
21,0.7320176959037781,0.830641508102417,0.7782173156738281,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
22,0.7745158672332764,0.8190853595733643,0.796177327632904,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
23,0.7692176699638367,0.7942819595336914,0.7815489172935486,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
24,0.7724618911743164,0.7702966332435608,0.7713777422904968,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
25,0.7914894819259644,0.8014662265777588,0.7964466214179993,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
26,0.7475022077560425,0.8070958852767944,0.7761567831039429,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
27,0.7662186622619629,0.8094321489334106,0.7872328162193298,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
28,0.7687473297119141,0.7942129373550415,0.7812727093696594,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
29,0.7732560038566589,0.8138641119003296,0.7930406332015991,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
30,0.7872849106788635,0.7853381633758545,0.7863103747367859,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
31,0.7665666341781616,0.8073989152908325,0.7864531874656677,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
32,0.7766414880752563,0.8261817693710327,0.8006460070610046,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
33,0.7637122869491577,0.8135520219802856,0.7878446578979492,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
34,0.7603472471237183,0.7937508225440979,0.7766900062561035,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
35,0.754125714302063,0.799522876739502,0.7761610150337219,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
36,0.7722543478012085,0.807350218296051,0.7894123792648315,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
37,0.7370139360427856,0.7856761813163757,0.7605674862861633,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
38,0.7954978942871094,0.8145174980163574,0.8048953413963318,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
39,0.7554619908332825,0.7991821765899658,0.7767074108123779,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
