,precision,recall,f1,hashcode
0,0.7392645478248596,0.8036593794822693,0.7701181769371033,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
1,0.7838048338890076,0.8389827013015747,0.8104556798934937,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
2,0.7369109392166138,0.8158628344535828,0.7743797302246094,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
3,0.7655348777770996,0.8289377689361572,0.7959757447242737,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
4,0.7379007339477539,0.7987775802612305,0.767133355140686,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
5,0.7162194848060608,0.8103599548339844,0.7603870034217834,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
6,0.7688466310501099,0.7905341982841492,0.7795395851135254,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
7,0.7577340602874756,0.7997093796730042,0.7781561017036438,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
8,0.775158166885376,0.8092334270477295,0.7918293476104736,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
9,0.7864370346069336,0.80234694480896,0.7943122982978821,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
10,0.7709694504737854,0.8144925832748413,0.7921335697174072,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
11,0.7442173957824707,0.828401505947113,0.7840561866760254,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
12,0.7888627052307129,0.8105329275131226,0.7995509505271912,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
13,0.752169132232666,0.8117947578430176,0.7808453440666199,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
14,0.7477179169654846,0.8134597539901733,0.7792046070098877,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
15,0.7701719999313354,0.8017842769622803,0.7856602668762207,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
16,0.7751688957214355,0.8017316460609436,0.7882265448570251,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
17,0.768782913684845,0.7936052680015564,0.7809969186782837,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
18,0.7693333625793457,0.8035037517547607,0.7860473394393921,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
19,0.7861554026603699,0.7964702844619751,0.7912792563438416,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
20,0.7684818506240845,0.8116543292999268,0.7894783020019531,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
21,0.7774484157562256,0.8268528580665588,0.8013899326324463,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
22,0.7405245900154114,0.8134382367134094,0.7752708196640015,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
