,precision,recall,f1,hashcode
0,0.7611450552940369,0.8096516728401184,0.7846494317054749,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
1,0.7695677280426025,0.8200656175613403,0.794014573097229,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
2,0.7679444551467896,0.8152365684509277,0.7908841371536255,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
3,0.6884623765945435,0.8249044418334961,0.7505327463150024,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
4,0.7669178247451782,0.8189247250556946,0.7920684218406677,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
5,0.7702999711036682,0.8292896151542664,0.7987070679664612,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
6,0.7965569496154785,0.799250602722168,0.797901451587677,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
7,0.7712263464927673,0.819764256477356,0.7947549223899841,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
8,0.776382327079773,0.8122196197509766,0.7938967347145081,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
9,0.7790827751159668,0.7930798530578613,0.7860190272331238,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
10,0.7716145515441895,0.815037190914154,0.7927316427230835,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
11,0.7596697211265564,0.8276066780090332,0.7921842336654663,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
12,0.7805858850479126,0.8133609294891357,0.7966364622116089,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
13,0.7417089939117432,0.8136966824531555,0.7760370373725891,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
14,0.7822731733322144,0.8158882856369019,0.7987271547317505,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
15,0.757336437702179,0.795354425907135,0.775879979133606,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
16,0.7817349433898926,0.8197147250175476,0.8002744317054749,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
17,0.7386906147003174,0.7900568246841431,0.7635107636451721,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
18,0.774272084236145,0.8164362907409668,0.7947953939437866,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
19,0.7628872394561768,0.7889105081558228,0.775680661201477,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
20,0.7555745840072632,0.8150510191917419,0.7841867208480835,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
21,0.7581702470779419,0.8146116733551025,0.7853782176971436,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
22,0.7761228084564209,0.8143702745437622,0.7947866916656494,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
23,0.7753467559814453,0.8043997287750244,0.7896060347557068,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
24,0.795495867729187,0.7846164703369141,0.7900187373161316,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
25,0.7802163362503052,0.7977325916290283,0.7888771891593933,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
26,0.7805987000465393,0.8091186881065369,0.7946028709411621,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
27,0.7560848593711853,0.8126991391181946,0.7833704948425293,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
28,0.7596253156661987,0.8182274103164673,0.7878381013870239,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
29,0.7654237747192383,0.819214940071106,0.7914063930511475,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
30,0.7773414850234985,0.787308394908905,0.7822932600975037,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
31,0.7903270721435547,0.8212237358093262,0.8054792284965515,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
32,0.7677977681159973,0.8186835646629333,0.7924246191978455,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
33,0.7575847506523132,0.8183501958847046,0.786795973777771,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
34,0.7661272287368774,0.8096952438354492,0.787308931350708,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
35,0.7598628401756287,0.8256157636642456,0.7913758754730225,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
36,0.7550023794174194,0.8106766939163208,0.7818496227264404,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
37,0.7774994969367981,0.7921298742294312,0.7847464084625244,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
38,0.776901364326477,0.8080224394798279,0.7921563982963562,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
39,0.75336754322052,0.8082480430603027,0.7798433899879456,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
40,0.770559549331665,0.7948250770568848,0.7825042605400085,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
41,0.7527961730957031,0.8218247294425964,0.7857974171638489,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
42,0.7766827940940857,0.8140616416931152,0.794933021068573,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
43,0.7795819044113159,0.8036754131317139,0.7914453744888306,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
44,0.7906370759010315,0.8094687461853027,0.799942135810852,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
45,0.782084584236145,0.8075234889984131,0.7946004867553711,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
46,0.7771791219711304,0.8096791505813599,0.7930963039398193,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
47,0.7956628799438477,0.8073601722717285,0.8014687895774841,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
48,0.7586145401000977,0.8023287653923035,0.7798594832420349,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
49,0.7855039834976196,0.7767660617828369,0.7811105847358704,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
50,0.7702847719192505,0.8349319696426392,0.8013066053390503,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
51,0.777294397354126,0.7937333583831787,0.7854279279708862,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
52,0.6392461657524109,0.7985318899154663,0.7100657820701599,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
53,0.7706639766693115,0.7995157241821289,0.7848247289657593,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
54,0.7735362648963928,0.8259583115577698,0.7988882064819336,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
55,0.7751418948173523,0.795387864112854,0.7851344347000122,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
56,0.7759498357772827,0.8161945939064026,0.7955635190010071,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
