,precision,recall,f1,hashcode
0,0.7432695627212524,0.8207062482833862,0.7800708413124084,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
1,0.7702643275260925,0.8077777028083801,0.7885751128196716,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
2,0.7545345425605774,0.8238286972045898,0.787660539150238,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
3,0.7666937112808228,0.8223439455032349,0.793544352054596,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
4,0.7639575600624084,0.8157450556755066,0.7890024185180664,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
5,0.7375134229660034,0.8293260931968689,0.7807298302650452,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
6,0.784427285194397,0.793360710144043,0.7888686656951904,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
7,0.7454090118408203,0.7985149621963501,0.7710486650466919,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
8,0.7659931778907776,0.8093169331550598,0.7870593070983887,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
9,0.7630248069763184,0.7837358713150024,0.7732416391372681,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
10,0.7527627944946289,0.8070876598358154,0.7789792418479919,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
11,0.7299857139587402,0.84269779920578,0.7823027968406677,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
12,0.7441758513450623,0.7912216782569885,0.7669779658317566,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
13,0.7748795747756958,0.8137078285217285,0.7938191890716553,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
14,0.7599998116493225,0.8104113936424255,0.7843964695930481,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
15,0.7814642190933228,0.7986305356025696,0.7899540662765503,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
16,0.740269660949707,0.8094430565834045,0.7733125686645508,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
17,0.7826721668243408,0.7926150560379028,0.78761225938797,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
18,0.7635934352874756,0.8039276003837585,0.7832415699958801,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
19,0.7710850238800049,0.799699068069458,0.7851314544677734,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.34.0.dev0)
